date,link
2019-08-12,https://drive.google.com/open?id=1AbCYqEN8zlBlQVEI6_zy17YE-UOGE8yLYgI94V5wX_U
2019-10-03,https://drive.google.com/open?id=143IWrUMmkgKgruCZWe-1nacWq_GYZ55cmkWqQO8rZxE
2019-07-17,https://docs.google.com/document/d/1FfHsPySWj3pw0dVWwyF3pZ2fm6c40t2M1pMi5UcXi8M
2019-07-31,https://drive.google.com/open?id=1FwaT9epIZ6Sk7uy_trveeT4HcIM-h5cs0HdqQrh0ikI
2019-08-14,https://drive.google.com/open?id=1GKqY6des8moqUQ7TKW372x4MaNhoqaY6isQyDns2oik
2019-08-28,https://drive.google.com/open?id=1V0iI-ZKDmASOjOjqwGkN95cb3rft6Moyql1WrvTUZFg
2019-09-11,https://docs.google.com/document/d/1VM3dvuzxHTl3-z2aBVp4IeJAFiSV2iAyIWTJnTD30QM
2019-09-25,https://docs.google.com/document/d/1yN7a9WX6_tLSpt-jrpM81TCRMjZNl-i4VYyHpQsrmXc
2019-10-09,https://docs.google.com/document/d/1KJt-u3S6lNXKxHzyiEylWGjpq-gcP2qK1UoASLoYbok
