publisher,OAI-URI,number,title,date,#forDPLA,#forPrimo,forArchivesWest?
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1935-1939&metadataPrefix=simple-dublin-core,93,The Crescent: 1935-1939,2017-08-29,93,93,no
"University of Washington, Special Collections",http://digitalcollections.lib.washington.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_qdc&set=barnes,302,"Barnes (Albert H.) Photographs of Western Washington, ca. 1895-1920",2018-04-11,0,0,yes
"Western Washington University, Western Libraries Heritage Resources",http://content.wwu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=funk,94,Funk (Wallie V.) Photographs - Select Images,2018-12-19,0,0,yes
Linfield College,http://digitalcommons.linfield.edu/do/oai/?verb=ListRecords&set=publication:dory_video_all&metadataPrefix=simple-dublin-core,5,All Video Stories,2017-06-11,5,5,no
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:osu-yearbooks&metadataPrefix=oai_dc,111,Oregon State University Yearbooks,2017-10-02,111,111,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=hiraharag,1002,"George and Frank C. Hirahara Photograph Collection, 1943-1945",2018-05-11,1002,1002,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=ott&metadataPrefix=oai_dc,1826,Ott Historical Photograph Collection,2018-03-08,1826,1826,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=5985,45,Black Oral History Collection,2018-01-09,0,45,no
Western Oregon University Archives,http://omeka.wou.edu:8080/oai-pmh-repository/request?verb=ListRecords&set=15&metadataPrefix=oai_dc,187,Alfred P. Maurice WWII Drawings,2018-06-28,187,187,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=p16866coll9,101,WSU Student Unrest of the '60s and '70s,2018-06-19,0,0,yes
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1905-1909&metadataPrefix=simple-dublin-core,39,The Crescent: 1905-1909,2018-06-27,39,39,no
Willamette University Archives and Special Collections,http://libmedia.willamette.edu/condm/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=aphotos,5142,University Archives Images,2018-06-04,5142,0,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1965-1969&metadataPrefix=simple-dublin-core,59,The Crescent: 1965-1969,2017-08-31,59,59,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:works,118,SPU Works,2018-06-26,118,118,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:library_reports,5,Annual Reports,2017-07-03,5,5,no
"University of Washington, Special Collections",http://cdm16786.contentdm.oclc.org//oai/oai.php?verb=ListRecords&set=wastate&metadataPrefix=oai_dc,3081,Washington Localities Photographs,2017-06-27,3081,0,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=dworshak&metadataPrefix=oai_dc,501,Dworshak Dam Collection,2018-05-16,501,501,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=chinook,87,WSU Yearbooks (Chinooks),2018-07-26,87,87,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=15,13,Maps: North America,2018-06-28,13,13,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:common_learning,145,Day of Common Learning,2018-06-27,145 70,145 70,no
"University of Washington, Special Collections",http://cdm16786.contentdm.oclc.org//oai/oai.php?verb=ListRecords&set=ayp&metadataPrefix=oai_dc,1426,Alaska Yukon Pacific Exposition Photographs,2017-06-27,1426,0,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1915-1919&metadataPrefix=simple-dublin-core,60,The Crescent: 1915-1919,2018-06-27,60,60,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=spec_kic&metadataPrefix=oai_dc,194,Kooskia Internment Camp Scrapbook,2018-02-23,194,194,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=masc,212,Best of MASC,2017-06-04,0,0,yes
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1945-1949&metadataPrefix=simple-dublin-core,81,The Crescent: 1945-1949,2017-08-29,81,81,no
Linfield College,http://digitalcommons.linfield.edu/do/oai/?verb=ListRecords&set=publication:dory_photos&metadataPrefix=simple-dublin-core,156,Storyteller Photographs,2018-06-27,156,156,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=55,163,Linn County Postcard Collection,2018-06-28,163,163,no
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:inw,69,Communities of the Inland Northwest,2018-06-04,69,69,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:archives_images_seminary,39,Seattle Seminary Images,2017-07-03,39,39,no
Linfield College,http://digitalcommons.linfield.edu/do/oai/?verb=ListRecords&set=publication:dory_archphotos_all&metadataPrefix=simple-dublin-core,135,All Photographs & Images,2018-04-01,135,135,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=cpratsch,767,Grays Harbor Collections,2018-06-25,767,767,yes
"University of Washington, Special Collections",http://digitalcollections.lib.washington.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_qdc&set=filmarch,1151,Moving Image Collection,2018-06-22,0,0,yes
Linfield College,http://digitalcommons.linfield.edu/do/oai/?verb=ListRecords&set=publication:dory_audio_all&metadataPrefix=simple-dublin-core,31,All Audio Stories,2018-06-27,31,31,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=ritchey,63,"Ritchey, George Image Collection",2017-06-04,0,0,yes
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=arbornotes&metadataPrefix=oai_dc,57,Arbor Notes Collection,2018-02-22,57,57,no
